"location_name","year","hale","le","dalys"
"Federated States of Micronesia",1990,55.535069,63.2031840446,52164.8540882
"Federated States of Micronesia",2016,57.512472,65.5024278099,46383.5962015
"Fiji",1990,56.992132,65.2047462524,47412.4218997
"Fiji",2016,57.206111,65.3773137924,46879.4692919
"Guam",1990,64.267956,73.0862389569,30211.9798978
"Guam",2016,63.307807,72.3352635405,31904.8907755
"Kiribati",1990,51.04678,58.1357997932,66425.4713985
"Kiribati",2016,54.018885,61.7852213296,56229.0705882
"Marshall Islands",1990,56.231602,64.4967285855,49354.8987904
"Marshall Islands",2016,56.402105,64.9157707808,48651.5131673
"Northern Mariana Islands",1990,64.604925,73.6376060503,29174.2758414
"Northern Mariana Islands",2016,65.857465,75.4681649896,26441.114204
"Papua New Guinea",1990,49.055525,55.9268043515,73911.1885447
"Papua New Guinea",2016,53.127767,60.7941744587,59445.8402501
"Samoa",1990,60.368965,68.8930403159,38683.6676256
"Samoa",2016,62.868414,71.886087117,32637.5584508
"Solomon Islands",1990,52.928032,60.0689922671,61211.6322497
"Solomon Islands",2016,55.304029,63.043009322,53049.1214126
"Tonga",1990,59.280788,67.8704314731,41236.4094739
"Tonga",2016,61.221189,70.3920274474,36173.086142
"Vanuatu",1990,54.146353,61.6822643575,56663.8836526
"Vanuatu",2016,55.993615,63.900410831,50677.7000309
"Afghanistan",1990,43.57088,51.5990175504,89708.9444092
"Afghanistan",2016,49.493187,57.948681381,69454.1192536
"Algeria",1990,60.553515,70.9936082537,37761.8414153
"Algeria",2016,66.072155,77.4143908137,26268.9146192
"Bahrain",1990,59.645381,69.5898087527,39073.1920206
"Bahrain",2016,65.359046,76.7684201119,26026.7578082
"Egypt",1990,55.948438,65.3138784726,49370.1772648
"Egypt",2016,62.036422,72.1263150028,33755.6665378
"Iran",1990,57.96666,67.9211298908,44332.0283025
"Iran",2016,64.791148,75.9434499343,28298.5429921
"Iraq",1990,55.879155,66.1350203603,48157.5098313
"Iraq",2016,57.430456,67.5966908324,44138.3284456
"Jordan",1990,61.018978,71.7661990154,35874.894578
"Jordan",2016,65.103196,76.2929952253,27852.2112369
"Kuwait",1990,64.885912,75.5608720937,28204.0514453
"Kuwait",2016,68.238244,79.6966143864,22387.9984169
"Lebanon",1990,59.067172,69.0839053815,40857.9131022
"Lebanon",2016,68.279943,80.0674859896,22538.2435006
"Libya",1990,62.444602,73.0310009685,33686.9406546
"Libya",2016,64.205407,75.0518169945,29289.5958134
"Morocco",1990,57.247178,67.2088448408,45640.9061273
"Morocco",2016,63.969995,75.001591877,29995.8952747
"Palestine",1990,60.878219,70.9592730759,36834.0145807
"Palestine",2016,61.789089,71.8209716863,34549.6712046
"Oman",1990,60.31904,70.6456131443,38140.3801201
"Oman",2016,66.203883,76.965210353,25514.571273
"Qatar",1990,63.977071,74.9646472357,29713.2954585
"Qatar",2016,68.151206,79.8653381133,22455.4290877
"Saudi Arabia",1990,61.381883,71.8739181468,35827.399241
"Saudi Arabia",2016,66.378014,77.0958191992,25013.732741
"Sudan",1990,49.740316,58.5491276683,67208.6650447
"Sudan",2016,58.172852,68.2983217079,43529.9478952
