measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
2,DALYs (Disability-Adjusted Life Years),157,Yemen,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,47465.967567,54145.1421094,41230.7120889
2,DALYs (Disability-Adjusted Life Years),38,Mongolia,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,40022.7460235,45250.659207799996,35689.1202387
2,DALYs (Disability-Adjusted Life Years),6,China,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,24010.0061268,26681.159630899998,21666.3296605
2,DALYs (Disability-Adjusted Life Years),171,Democratic Republic of the Congo,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,80656.9005204,92954.8884389,66323.76547310001
2,DALYs (Disability-Adjusted Life Years),156,United Arab Emirates,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,27511.553008400002,32221.9529311,23497.6506742
2,DALYs (Disability-Adjusted Life Years),90,Norway,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,24595.7175947,27805.087964699997,21739.7232659
2,DALYs (Disability-Adjusted Life Years),4624,Greater London,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,26471.345256399996,29736.7344984,23488.564716599998
2,DALYs (Disability-Adjusted Life Years),68,South Korea,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,31975.87826,35757.8174326,28606.1017072
2,DALYs (Disability-Adjusted Life Years),172,Equatorial Guinea,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,48397.033063,58498.737869100005,39840.2979619
2,DALYs (Disability-Adjusted Life Years),99,Uruguay,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,24195.6734511,27416.580428600002,21412.9953814
2,DALYs (Disability-Adjusted Life Years),4645,Baja California Sur,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,26176.076299700002,29884.237178400002,22885.3571221
2,DALYs (Disability-Adjusted Life Years),174,Eastern Sub-Saharan Africa,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,51534.2812832,55342.5158105,48022.276268300004
2,DALYs (Disability-Adjusted Life Years),116,Saint Lucia,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,27366.7515515,31572.5929781,23948.4943625
2,DALYs (Disability-Adjusted Life Years),17,Sri Lanka,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,24050.0801474,28064.420600399997,20448.4882755
2,DALYs (Disability-Adjusted Life Years),35454,Tottori,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,17336.0855008,20686.9373227,14422.552811799998
2,DALYs (Disability-Adjusted Life Years),35462,K?chi,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,21905.3411106,24859.7657664,19314.2393797
2,DALYs (Disability-Adjusted Life Years),35463,Fukuoka,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,21689.6389678,24599.4301417,19145.0794363
2,DALYs (Disability-Adjusted Life Years),4656,Jalisco,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,33539.6938545,37034.7213124,30270.4689317
2,DALYs (Disability-Adjusted Life Years),35428,Akita,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,21647.389552599998,24568.3100639,19108.9392358
2,DALYs (Disability-Adjusted Life Years),80,France,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,18757.2100025,21876.429895999998,15989.0522318
2,DALYs (Disability-Adjusted Life Years),187,Somalia,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,88943.6394188,99219.7427785,78893.885559
2,DALYs (Disability-Adjusted Life Years),60,Lithuania,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,27921.161297399998,31555.252164499998,24772.6365786
2,DALYs (Disability-Adjusted Life Years),4622,West Midlands,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,27126.955130000002,30481.265833100002,24198.6743398
2,DALYs (Disability-Adjusted Life Years),194,Lesotho,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,93853.8216626,106058.837391,82438.0424497
2,DALYs (Disability-Adjusted Life Years),35435,Chiba,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,16860.4808128,19744.4127802,14202.9443128
2,DALYs (Disability-Adjusted Life Years),39,Tajikistan,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,33568.092719600005,38522.3292894,29248.0322725
2,DALYs (Disability-Adjusted Life Years),434,Scotland,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,29051.9851231,32487.2115826,26075.0544851
2,DALYs (Disability-Adjusted Life Years),174,Eastern Sub-Saharan Africa,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,86957.4558678,91096.5782904,83311.2749639
2,DALYs (Disability-Adjusted Life Years),15,Myanmar,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,64635.922120699994,71627.9043368,58428.939608999994
2,DALYs (Disability-Adjusted Life Years),20,Vietnam,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,40147.5667668,44230.9652517,36005.3456858
2,DALYs (Disability-Adjusted Life Years),99,Uruguay,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,30999.5936777,34032.3574568,28323.547266600002
2,DALYs (Disability-Adjusted Life Years),111,Dominican Republic,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,36429.9255157,40028.5694498,33113.8578002
2,DALYs (Disability-Adjusted Life Years),44635,High SDI,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,20725.4561825,23907.056427299998,17917.3083152
2,DALYs (Disability-Adjusted Life Years),149,Palestine,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,36834.0145807,42230.9614996,31136.296572099996
2,DALYs (Disability-Adjusted Life Years),216,Senegal,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,45209.8175436,49248.144102000006,41538.2087663
2,DALYs (Disability-Adjusted Life Years),161,Bangladesh,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,33318.8406669,37132.6429683,29838.8584268
2,DALYs (Disability-Adjusted Life Years),4643,Aguascalientes,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,24546.2269996,27740.517940499998,21552.099926900002
2,DALYs (Disability-Adjusted Life Years),196,South Africa,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,55755.74578980001,60664.5489901,51450.39471
2,DALYs (Disability-Adjusted Life Years),4643,Aguascalientes,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,32407.353576600002,35995.2942033,29319.645656499997
2,DALYs (Disability-Adjusted Life Years),4674,Zacatecas,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,32282.7765852,35516.6903727,29369.5517302
2,DALYs (Disability-Adjusted Life Years),4623,East of England,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,24533.8184603,27865.5408122,21645.1702544
2,DALYs (Disability-Adjusted Life Years),208,Guinea,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,85522.4596363,90321.66444760001,80636.5207964
2,DALYs (Disability-Adjusted Life Years),172,Equatorial Guinea,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,99748.01546560001,112600.42055899999,87783.1288127
2,DALYs (Disability-Adjusted Life Years),35444,Gifu,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,20705.5735414,23613.5358891,18095.5303278
2,DALYs (Disability-Adjusted Life Years),4654,Guerrero,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,35883.5017473,39428.5391719,32716.335270800002
2,DALYs (Disability-Adjusted Life Years),79,Finland,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,19505.1663084,22728.8628144,16548.660930600003
2,DALYs (Disability-Adjusted Life Years),4940,Sweden except Stockholm,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,19081.3160112,22537.6920411,16009.4239886
2,DALYs (Disability-Adjusted Life Years),160,Afghanistan,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,69454.1192536,76783.4343603,62724.1859323
2,DALYs (Disability-Adjusted Life Years),130,Mexico,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,34583.4703448,37638.2326484,31931.370360700002
2,DALYs (Disability-Adjusted Life Years),217,Sierra Leone,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,63220.9139847,68348.3728645,58530.5255895
2,DALYs (Disability-Adjusted Life Years),7,North Korea,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,33834.8381709,37613.5764616,30319.794944400004
2,DALYs (Disability-Adjusted Life Years),18,Thailand,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,35945.6492668,39427.989225799996,32772.1511736
2,DALYs (Disability-Adjusted Life Years),35429,Yamagata,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,20440.9269541,23358.9928005,17898.6276816
2,DALYs (Disability-Adjusted Life Years),71,Australia,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,24939.4191593,28173.621475,21999.3615213
2,DALYs (Disability-Adjusted Life Years),51,Poland,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,34677.7263761,38042.6426061,31661.2253783
2,DALYs (Disability-Adjusted Life Years),4625,South East England,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,24558.577746400002,27888.4817311,21610.0126063
2,DALYs (Disability-Adjusted Life Years),35466,Kumamoto,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,20812.3193535,23684.1348265,18174.2244022
2,DALYs (Disability-Adjusted Life Years),4749,England,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,19994.601527799998,23222.1274372,17149.0073768
2,DALYs (Disability-Adjusted Life Years),36,Kazakhstan,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,41194.1637968,45160.0990263,37306.8904018
2,DALYs (Disability-Adjusted Life Years),56,Eastern Europe,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,38029.975818900006,41515.5402374,34642.654647999996
2,DALYs (Disability-Adjusted Life Years),121,Bolivia,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,31613.726469499998,36283.9916309,27432.9776874
2,DALYs (Disability-Adjusted Life Years),35433,Gunma,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,17122.9391376,20154.793021600002,14425.6480729
2,DALYs (Disability-Adjusted Life Years),35442,Yamanashi,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,16994.7629721,20311.4942833,14305.0317329
2,DALYs (Disability-Adjusted Life Years),20,Vietnam,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,27378.998550700002,30933.200342599997,24303.338641899998
2,DALYs (Disability-Adjusted Life Years),82,Greece,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,19554.2288396,22501.0105223,16813.3196724
2,DALYs (Disability-Adjusted Life Years),4660,Nayarit,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,25256.43552,28460.349026199998,22327.4862457
2,DALYs (Disability-Adjusted Life Years),124,Central Latin America,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,25787.734698300002,28735.327685099997,23094.5565502
2,DALYs (Disability-Adjusted Life Years),122,Ecuador,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,24776.0506481,27929.819109199998,21979.983626999998
2,DALYs (Disability-Adjusted Life Years),72,New Zealand,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,26872.0591661,30148.9156275,24015.7621597
2,DALYs (Disability-Adjusted Life Years),197,Swaziland,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,69112.572861,81641.95071369999,57933.218349799994
2,DALYs (Disability-Adjusted Life Years),73,Western Europe,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,25586.2390301,28795.1027524,22767.4155425
2,DALYs (Disability-Adjusted Life Years),55,Slovenia,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,30001.1294002,33618.9169721,26661.757018
